RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	10218838	10535448	13.446122	11.679456	13:26:46N	11:40:46E	32PQV9013188050	ND32-12	P	PPL		NG	02				N				KASOULWA	Kasoulwa	Kasoulwa	KASOULWA	Kasoulwa	Kasoulwa		2008-07-07	1,2,3,4	1			2008-07-07		
3	10218839	10535449	13.469752	11.701782	13:28:11N	11:42:06E	32PQV9252190692	ND32-12	P	PPL		NG	02				N				FOURDIA	Fourdia	Fourdia	FOURDIA	Fourdia	Fourdia		2008-07-07	1,2,3,4	1			2008-07-07		
1	10218265	10535105	14.241263	13.233168	14:14:29N	13:13:59E	33PUR0937275132	ND33-05	P	PPL		NG	02				V				KOUTOUKONDJA	Koutou Kondja	Koutou Kondja	KOUTOUKONDJA	Koutou Kondja	Koutou Kondja		2008-07-03	1,2,3,4				2008-07-03		
1	10218265	10534523	14.241263	13.233168	14:14:29N	13:13:59E	33PUR0937275132	ND33-05	P	PPL		NG	02				N				KOUTOUWANGO	Koutou Wango	Koutou Wango	KOUTOUWANGO	Koutou Wango	Koutou Wango		2008-07-03	1,2,3,4	1			2008-07-03		
1	10218267	10535270	14.331191	13.270386	14:19:52N	13:16:13E	33PUR1346385052	ND33-05	P	PPL		NG	02				V				LIMI	Limi	Limi	LIMI	Limi	Limi		2008-07-03	1,2,3,4				2008-07-03		
1	10218267	10534525	14.331191	13.270386	14:19:52N	13:16:13E	33PUR1346385052	ND33-05	P	PPL		NG	02				N				BOULAKOURA	Boula Koura	Boula Koura	BOULAKOURA	Boula Koura	Boula Koura		2008-07-03	1,2,3,4	1			2008-07-03		
3	10204529	10513974	13.646882	11.086829	13:38:49N	11:05:13E	32PQA2574309644	ND32-12	P	PPL		NG	02				N				FANAMALOURAM	Fana Malouram	Fana Malouram	FANAMALOURAM	Fana Malouram	Fana Malouram		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204534	10513979	13.650197	11.05412	13:39:01N	11:03:15E	32PQA2220009981	ND32-12	P	PPL		NG	02				N				BOLOMIRAM	Bolomiram	Bolomiram	BOLOMIRAM	Bolomiram	Bolomiram		2008-06-09	1,2,3,4	1			2008-06-09		
3	10204548	10513994	13.647964	12.286548	13:38:53N	12:17:12E	33PTR0643310435	ND33-09	P	PPL		NG	02				N				ISARI	Isari	Isari	ISARI	Isari	Isari		2008-06-09	1,2,3,4	1			2008-06-09		
3	10206068	10516040	13.631858	11.125982	13:37:55N	11:07:34E	32PQA2999408018	ND32-12	P	PPL		NG	02				N				DOUNDWA	Doundwa	Doundwa	DOUNDWA	Doundwa	Doundwa		2008-06-12	1,2,3,4	1			2008-06-12		
3	-1087210	-1612340	13.273785	12.574415	13:16:26N	12:34:28E	33PTQ3718768691	ND33-09	P	PPL		NG	02				V				TURBANGIDA	Turbangida	Turbangida	TURBANGIDA	Turbangida	Turbangida		2008-06-10	1,2,3,4,5				2008-09-25		
3	-1087210	-1612268	13.273785	12.574415	13:16:26N	12:34:28E	33PTQ3718768691	ND33-09	P	PPL		NG	02				N				TOURBANGUIDA	Tourbanguida	Tourbanguida	TOURBANGUIDA	Tourbanguida	Tourbanguida		2008-06-10	1,2,3,4,5	1			2015-05-12		
3	-1087210	10519768	13.273785	12.574415	13:16:26N	12:34:28E	33PTQ3718768691	ND33-09	P	PPL		NG	02				V				TIURBANGIDA	Tiurbangida	Tiurbangida	TIURBANGIDA	Tiurbangida	Tiurbangida		2008-06-10	1,2,3,4,5				2015-05-12		
3	10205811	10515715	13.363904	12.739322	13:21:50N	12:44:22E	33PTQ5515478496	ND33-09	P	PPL		NG	02				N				FIEGABALARGE	Fiega Balargé	Fiega Balarge	FIEGABALARGE	Fiega Balargé	Fiega Balarge		2008-06-10	1,2,3,4	1			2015-05-12		
3	10205812	10515716	13.369013	12.707966	13:22:08N	12:42:29E	33PTQ5176279093	ND33-09	P	PPL		NG	02				N				TYARISAMIRI	Tyari-Samiri	Tyari-Samiri	TYARISAMIRI	Tyari-Samiri	Tyari-Samiri		2008-06-10	1,2,3,4	1			2008-06-10		
3	10205813	10515717	13.346484	12.733051	13:20:47N	12:43:59E	33PTQ5445776574	ND33-09	P	PPL		NG	02				N				TAKASA	Takasa	Takasa	TAKASA	Takasa	Takasa		2008-06-10	1,2,3,4	1			2008-06-10		
3	10205815	10515719	13.357632	12.717141	13:21:27N	12:43:02E	33PTQ5274477824	ND33-09	P	PPL		NG	02				N				ZEYNAMTYALORI	Zeynam-Tyalori	Zeynam-Tyalori	ZEYNAMTYALORI	Zeynam-Tyalori	Zeynam-Tyalori		2008-06-10	1,2,3,4	1			2008-06-10		
3	10205972	10515917	13.122726	12.272823	13:07:22N	12:16:22E	33PTQ0430652306	ND33-09	P	PPL		NG	02				N				DYANGIRI	Dyangiri	Dyangiri	DYANGIRI	Dyangiri	Dyangiri		2008-06-11	1,2,3,4	1			2008-06-11		
3	10205973	10515918	13.107253	12.28451	13:06:26N	12:17:04E	33PTQ0555650580	ND33-09	P	PPL		NG	02				N				MANKAWRI	Mankawri	Mankawri	MANKAWRI	Mankawri	Mankawri		2008-06-11	1,2,3,4	1			2008-06-11		
3	10205974	10515919	13.10429	12.30558	13:06:15N	12:18:20E	33PTQ0783950227	ND33-09	P	PPL		NG	02				N				BOULALARI	Boulalari	Boulalari	BOULALARI	Boulalari	Boulalari		2008-06-11	1,2,3,4	1			2008-06-11		
